processed by;spk;L1;Age;Gender;FR level;RU level;Duration
EB;AB;ru;22;f;A1;C2;153.11
DD;AB2;ru;18;f;A1;C2;151.96
DD;AG;fr;25;m;C2;A2;113.42
DD;AN;fr;27;m;C2;B1/B2;95.76
EB;AR;fr;22;m;C2;A1/A2;99.75
DD;CB;fr;23;m;C2;B1;106.19
DD;DD;ru;25;f;B2/C1;C2;124.53
DD;KB;ru;41;f;C2;C2;140.92
DD;KL;ru;26;m;C1;C2;110.93
EB;KV;ru;38;m;A2;C2;136.65
DD;MD;fr;24;m;C2;C2;99.81
DD;MM;ru;23;f;A1;C2;136.88
DD;RN;ru;22;f;C2;C2;135.17
EB;SD;fr;21;f;C2;A2;116.03
EB;SH;fr;21;m;C2;A1;82.66
DD;SV;fr;24;m;C2;A1;112.23
EB;UR;ru;27;f;B1;C2;104.01
EB;UV;ru;33;f;B2;C2;156.5
EB;YC;fr;N/C;f;C2;B2/C1;113.98
